	3D Point Head  			3D Point 117:LS			3D Point 117:LE			3D Point LWRIST			3D Point 117:RS			3D Point 117:RE			3D Point RWRIST			3D Point LHIP  			3D Point RHIP  			3D Point 117:LK			3D Point 117:LA			3D Point 117:RK			3D Point 117:RA		
Frame	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z
42	-2,551163	157,575940	79,377917	18,179813	136,827881	82,702197	23,978781	103,954590	88,974561	17,270457	82,001953	99,635309	-21,908472	136,033789	78,568164	-29,704361	101,645258	79,844702	-26,965417	78,316553	90,385406	6,791153	90,771393	85,069202	-10,652579	91,362933	85,263116	15,318811	37,172260	85,018945	10,031180	10,980405	51,188055	-13,774963	39,373218	99,079047	-9,615455	-3,097042	95,588379
43	-2,760127	157,885864	81,102594	18,043459	137,107520	84,151080	23,986311	104,249316	90,363562	17,201595	82,302924	100,998785	-22,121255	136,374634	80,632581	-30,100589	102,006976	81,852008	-27,176221	78,785059	92,633099	6,619259	91,104382	86,643707	-10,812708	91,672278	86,932086	15,403539	37,541928	88,662164	9,879436	11,904834	54,594476	-13,895766	39,329974	99,504633	-9,637585	-3,101077	95,552234
44	-2,937681	158,174268	82,822455	17,937086	137,343555	85,471790	23,998497	104,495581	91,705402	17,196301	82,575769	102,341901	-22,302583	136,690662	82,718036	-30,491507	102,362585	83,927283	-27,369629	79,232001	94,886676	6,460902	91,404688	88,228363	-10,982388	91,960291	88,555359	15,473495	37,969226	92,292474	9,677219	12,602710	58,124640	-14,007304	39,294415	99,837030	-9,647501	-3,115778	95,496893
45	-3,095672	158,437952	84,540527	17,826935	137,567395	86,790509	24,029895	104,744458	92,976752	17,253564	82,834027	103,659900	-22,458055	137,003308	84,813397	-30,869214	102,699109	86,068323	-27,535046	79,666345	97,150610	6,311474	91,676740	89,781592	-11,129984	92,203461	90,139154	15,519785	38,425641	95,851202	9,487549	13,046870	61,822778	-14,102812	39,272278	100,116309	-9,648920	-3,112496	95,461658
46	-3,217903	158,668677	86,251672	17,728902	137,750574	88,060175	24,080809	104,970325	94,136987	17,383818	83,058508	104,945740	-22,573401	137,285034	86,883514	-31,226746	103,035803	88,280194	-27,673621	80,084070	99,459491	6,152931	91,948938	91,338092	-11,292624	92,391046	91,687305	15,509293	38,973343	99,358813	9,305766	13,133615	65,732123	-14,197968	39,246960	100,392627	-9,662711	-3,120128	95,437262
47	-3,311941	158,863269	87,954437	17,627547	137,920923	89,334796	24,113985	105,130872	95,257550	17,598952	83,237671	106,178882	-22,670520	137,544312	88,910754	-31,565900	103,356592	90,542999	-27,779831	80,497906	101,811908	6,009179	92,180676	92,835504	-11,424432	92,536340	93,224554	15,445731	39,556754	102,790503	9,166113	12,974692	69,740521	-14,289920	39,213336	100,661993	-9,694588	-3,120321	95,426270
48	-3,380401	159,028357	89,653790	17,525568	138,047339	90,604254	24,120177	105,275574	96,291748	17,900832	83,352264	107,403223	-22,753323	137,784973	90,915045	-31,884769	103,658813	92,863055	-27,856509	80,895087	104,203601	5,913094	92,364496	94,280963	-11,542107	92,663416	94,729077	15,325066	40,150378	106,123047	8,971172	12,607836	73,902484	-14,378346	39,199695	100,921954	-9,712886	-3,115551	95,425781
49	-3,452896	159,171521	91,361267	17,424359	138,123352	91,885052	24,131477	105,340894	97,296680	18,256061	83,422473	108,632153	-22,825943	137,991235	92,862781	-32,154282	103,937134	95,212628	-27,909296	81,270227	106,637366	5,811031	92,580328	95,796802	-11,639597	92,745874	96,204620	15,131917	40,751544	109,394336	8,816147	11,874462	78,339740	-14,441194	39,159863	101,121021	-9,719558	-3,102418	95,422467
50	-3,487105	159,251721	93,060132	17,331123	138,154578	93,184241	24,115749	105,387378	98,277502	18,640843	83,454608	109,878210	-22,887660	138,163245	94,779211	-32,382452	104,175049	97,571008	-27,934613	81,601984	109,086658	5,725924	92,697943	97,252057	-11,711534	92,799603	97,666949	14,875731	41,366937	112,581079	8,693770	10,789925	82,949469	-14,502888	39,129425	101,360468	-9,726485	-3,086136	95,413483
51	-3,506969	159,306689	94,761871	17,250226	138,120947	94,452771	24,126976	105,348047	99,320911	18,941292	83,483459	111,073975	-22,927913	138,280945	96,654340	-32,587253	104,391382	99,958124	-27,906897	81,958765	111,654016	5,679028	92,776678	98,665851	-11,753252	92,797009	99,111279	14,568076	41,942014	115,610791	8,550446	9,661919	87,681976	-14,557690	39,080545	101,580042	-9,733235	-3,074471	95,405347
52	-3,492871	159,307251	96,449445	17,162859	138,040393	95,765192	24,153986	105,281775	100,380536	19,322571	83,448407	112,373718	-22,967877	138,358557	98,528741	-32,744156	104,559155	102,332251	-27,895792	82,184113	114,083826	5,629205	92,825116	100,093024	-11,789553	92,774084	100,553973	14,238820	42,445563	118,499695	8,440426	8,301331	92,681256	-14,626154	39,036072	101,865002	-9,740055	-3,056259	95,392120
53	-3,466140	159,256970	98,141528	17,089949	137,925635	97,080109	24,220360	105,176648	101,486774	19,688840	83,362158	113,702307	-22,979663	138,383447	100,398932	-32,861313	104,670630	104,666516	-27,883218	82,371198	116,526111	5,606754	92,820593	101,529236	-11,802833	92,673090	101,992651	13,890286	42,875613	121,204956	8,377893	6,866743	97,838342	-14,673932	38,996640	102,208612	-9,742986	-3,034469	95,394067
54	-3,414781	159,169873	99,835297	17,033232	137,760876	98,422839	24,273051	105,026208	102,664856	20,074239	83,215399	115,004236	-22,983957	138,357764	102,282727	-32,945111	104,734766	106,994800	-27,852634	82,503784	118,941016	5,594072	92,766602	103,002515	-11,804422	92,556323	103,391028	13,544539	43,218704	123,712659	8,366485	5,339496	103,209814	-14,700815	38,939136	102,612683	-9,736002	-3,007249	95,396442
55	-3,342930	159,038953	101,530658	16,988855	137,567200	99,827466	24,346916	104,835632	103,883447	20,448518	83,016638	116,293835	-22,967110	138,283118	104,174365	-32,986325	104,739148	109,279456	-27,786774	82,547656	121,295386	5,610097	92,666687	104,483765	-11,797073	92,391406	104,862769	13,217072	43,444009	125,983020	8,371506	3,904159	108,705469	-14,715413	38,888528	103,069177	-9,717091	-2,985050	95,415594
56	-3,242773	158,875757	103,237329	16,964494	137,341113	101,280658	24,430229	104,624536	105,120435	20,832628	82,761566	117,526355	-22,928465	138,153516	106,052319	-32,995786	104,691821	111,528125	-27,725287	82,573810	123,675342	5,638083	92,526825	105,969775	-11,787582	92,203937	106,356421	12,901553	43,557001	128,019812	8,401536	2,559207	114,301208	-14,728735	38,846246	103,585327	-9,693785	-2,953834	95,430945
57	-3,131873	158,689038	104,947400	16,959886	137,091516	102,829407	24,500237	104,379419	106,450952	21,190353	82,403662	118,718079	-22,882033	138,000098	107,953406	-32,963281	104,589539	113,737170	-27,657941	82,541144	125,981531	5,622196	92,368994	107,489417	-11,772858	91,996356	107,839380	12,583826	43,501190	129,875195	8,865971	1,829245	119,720166	-14,749777	38,777478	104,119458	-9,664882	-2,917448	95,442792
58	-3,005499	158,475305	106,678516	16,995514	136,810986	104,427979	24,607939	104,113647	107,732385	21,542036	81,994196	119,855078	-22,814296	137,800586	109,826001	-32,890836	104,455688	115,913843	-27,571796	82,462769	128,256836	5,648105	92,169574	109,075830	-11,757999	91,844775	109,455066	12,264395	43,290094	131,542004	8,521157	0,374654	125,768250	-14,766231	38,714587	104,777429	-9,627782	-2,870188	95,467938
59	-2,852744	158,242041	108,416846	17,043671	136,512463	106,113525	24,714587	103,815955	109,139404	21,853291	81,525513	120,989294	-22,734782	137,583154	111,677783	-32,775687	104,277698	118,030835	-27,482407	82,365100	130,485059	5,674588	91,944495	110,710168	-11,717095	91,565662	110,889087	11,993794	42,933932	133,038745	8,641648	-0,267479	131,552930	-14,775743	38,638190	105,531360	-9,587625	-2,812577	95,521228
60	-2,675611	157,983472	110,167175	17,123985	136,207971	107,898340	24,808661	103,498242	110,584106	22,140388	81,007635	122,058679	-22,631082	137,343726	113,504468	-32,630157	104,082178	120,087427	-27,359869	82,238000	132,670972	5,705499	91,671588	112,327271	-11,657165	91,171832	112,180334	11,729346	42,530356	134,404785	8,833548	-0,518543	137,273267	-14,771594	38,533707	106,341760	-9,553082	-2,747232	95,592889
61	-2,475275	157,713232	111,931409	17,230225	135,877954	109,739441	24,922104	103,141992	112,051331	22,388434	80,452020	123,164038	-22,512457	137,096252	115,307166	-32,458746	103,869373	122,092358	-27,219022	82,113318	134,828564	5,746798	91,398022	114,065491	-11,615543	90,936047	113,813037	11,576154	42,101120	135,746973	9,043793	-0,264127	142,733435	-14,783864	38,461536	107,230188	-9,499065	-2,632036	95,680463
62	-2,265508	157,436853	113,715869	17,362236	135,538013	111,637988	25,032671	102,805115	113,546228	22,624403	79,883887	124,201331	-22,406294	136,857153	117,071375	-32,271765	103,632336	124,037781	-27,048434	81,987427	136,943420	5,770811	91,115076	115,821851	-11,591944	90,688892	115,442029	11,534583	41,721436	137,156885	9,188305	0,314131	147,718896	-14,801733	38,390878	108,116382	-9,415737	-2,500456	95,765491
63	-2,029557	157,173218	115,516797	17,525766	135,202783	113,621216	25,170818	102,436694	115,104285	22,835742	79,309143	125,264111	-22,284361	136,612451	118,818311	-32,087189	103,395068	125,891858	-26,865509	81,858801	138,976758	5,788536	90,814612	117,623425	-11,583820	90,446979	117,148486	11,564572	41,423306	138,657239	9,274347	0,966475	152,199329	-14,822255	38,361597	109,052942	-9,359346	-2,277625	95,845001
64	-1,835654	156,894165	117,363293	17,706708	134,872144	115,666370	25,283696	102,076318	116,707739	23,032988	78,729187	126,351123	-22,141927	136,373193	120,564917	-31,898361	103,154187	127,696484	-26,657193	81,742548	140,975671	5,801291	90,566357	119,509180	-11,560233	90,196869	118,863159	11,621320	41,239539	140,353577	9,318256	1,539849	155,867749	-14,837756	38,361963	110,100354	-9,352878	-2,015669	95,964252
