	3D Point Head  			3D Point 117:LS			3D Point 117:LE			3D Point LWRIST			3D Point 117:RS			3D Point 117:RE			3D Point RWRIST			3D Point LHIP  			3D Point RHIP  			3D Point 117:LK			3D Point 117:LA			3D Point 117:RK			3D Point 117:RA		
Frame	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z
45	-2,785069	158,423096	84,339545	17,998817	137,636963	87,234344	23,901912	104,709583	93,121503	17,200970	82,661908	103,596313	-22,153139	136,911194	83,596521	-30,032111	102,519788	84,562616	-27,150690	79,155469	95,012402	6,591379	91,581018	89,289056	-10,837756	92,174969	89,640021	15,251703	37,973093	89,734607	9,649443	12,410410	55,567432	-13,871251	39,872281	102,361664	-9,694217	-2,539457	98,214264
46	-2,971020	158,710950	86,069989	17,880991	137,880188	88,625812	23,906189	104,969849	94,494916	17,169090	82,942963	104,964148	-22,336768	137,225122	85,684479	-30,415158	102,855933	86,609180	-27,336542	79,590369	97,259418	6,436540	91,888733	90,883435	-10,992730	92,442517	91,275043	15,350591	38,347980	93,356616	9,500703	13,203999	59,034863	-13,989441	39,832208	102,747705	-9,708027	-2,551921	98,170831
47	-3,129351	158,971021	87,780481	17,781511	138,090417	89,936407	23,943109	105,195459	95,801501	17,202570	83,193018	106,292603	-22,490450	137,518665	87,773175	-30,782568	103,179675	88,711981	-27,505557	80,001044	99,518445	6,288826	92,156189	92,451068	-11,158313	92,698621	92,893372	15,431854	38,762469	96,981085	9,314687	13,751816	62,651318	-14,095641	39,816031	103,059351	-9,713637	-2,555190	98,123694
48	-3,260228	159,198901	89,499615	17,690210	138,286853	91,222650	24,000333	105,427283	97,014984	17,304323	83,420990	107,598865	-22,620934	137,796191	89,867310	-31,150711	103,502002	90,902588	-27,649469	80,411108	101,816815	6,149971	92,413434	93,994751	-11,295835	92,894843	94,466949	15,478529	39,220325	100,500128	9,146199	13,982080	66,453601	-14,185789	39,771057	103,302930	-9,717168	-2,554581	98,091394
49	-3,354466	159,393555	91,215393	17,596527	138,457434	92,487054	24,048387	105,627600	98,178589	17,483749	83,613342	108,852917	-22,719867	138,049585	91,928320	-31,484805	103,807361	93,147601	-27,754190	80,799951	104,137317	6,009647	92,657568	95,531726	-11,442350	93,051917	95,997095	15,457715	39,763571	103,977234	9,019441	13,908455	70,418921	-14,277448	39,743085	103,591479	-9,743891	-2,562247	98,077332
50	-3,434615	159,570020	92,920490	17,497765	138,595679	93,765808	24,069351	105,741003	99,265814	17,745993	83,747052	110,078809	-22,799292	138,283057	93,944415	-31,799619	104,101233	95,446643	-27,833929	81,191058	106,524963	5,896413	92,857697	96,992096	-11,540930	93,184070	97,519183	15,378618	40,323306	107,362292	8,872050	13,589484	74,503717	-14,367729	39,713742	103,847546	-9,772255	-2,557863	98,074451
51	-3,503669	159,713843	94,621442	17,400517	138,688440	95,063800	24,075342	105,849194	100,292303	18,077832	83,825604	111,298584	-22,867209	138,488977	95,923328	-32,080603	104,369666	97,780304	-27,887546	81,546405	108,934460	5,800904	93,043463	98,473285	-11,645343	93,266345	99,017865	15,246318	40,891150	110,677661	8,717000	13,041516	78,767120	-14,441182	39,683429	104,075012	-9,785098	-2,547335	98,069025
52	-3,529631	159,801538	96,321552	17,318002	138,720520	96,336176	24,072968	105,917993	101,219525	18,468626	83,866821	112,539319	-22,915224	138,654370	97,844202	-32,316016	104,605127	100,137805	-27,910184	81,884882	111,383826	5,720578	93,185541	99,992633	-11,719707	93,329120	100,479816	15,038748	41,477756	113,916077	8,616479	12,047604	83,290637	-14,501338	39,657764	104,308997	-9,787392	-2,535362	98,060779
53	-3,543729	159,845496	98,013544	17,229863	138,715637	97,622968	24,077997	105,882458	102,244745	18,856691	83,863928	113,794983	-22,960229	138,779236	99,743054	-32,518362	104,813940	102,525500	-27,909372	82,173199	113,845630	5,666976	93,283978	101,402380	-11,775488	93,339233	101,925775	14,765080	42,042151	117,033777	8,482423	10,913711	87,968500	-14,558688	39,602512	104,519910	-9,797636	-2,518035	98,056531
54	-3,540484	159,859900	99,710596	17,151289	138,651855	98,925867	24,113669	105,808203	103,327197	19,163483	83,855542	115,028455	-22,988324	138,863550	101,615894	-32,679648	104,977112	104,898206	-27,881082	82,479114	116,392969	5,619400	93,313489	102,845251	-11,793368	93,308313	103,373376	14,465524	42,546912	120,011316	8,401159	9,598778	92,831879	-14,618529	39,572479	104,790295	-9,803813	-2,501954	98,045026
55	-3,513154	159,820630	101,402167	17,078244	138,537939	100,234839	24,163200	105,709631	104,413965	19,547176	83,782666	116,324890	-22,997284	138,896472	103,491821	-32,809534	105,105762	107,267798	-27,836166	82,664551	118,847583	5,595357	93,338831	104,238623	-11,825395	93,228815	104,825708	14,135693	42,990506	122,799658	8,337567	8,145602	97,899548	-14,675768	39,509491	105,076514	-9,812038	-2,478110	98,043085
56	-3,462670	159,735498	103,096265	17,015256	138,384058	101,556641	24,239714	105,588635	105,516296	19,936208	83,681122	117,622937	-22,998187	138,880383	105,363306	-32,899844	105,172864	109,603650	-27,809012	82,802826	121,268176	5,595297	93,290790	105,716626	-11,818250	93,107678	106,248303	13,801552	43,367078	125,428992	8,332316	6,608353	103,128772	-14,712944	39,453897	105,450793	-9,808952	-2,459382	98,044238
57	-3,400982	159,612097	104,800708	16,981245	138,194373	102,935254	24,312556	105,424219	106,711548	20,311720	83,490607	118,923914	-22,976126	138,808850	107,258118	-32,958096	105,184473	111,907715	-27,747281	82,882928	123,686829	5,588465	93,208923	107,197058	-11,805856	92,945551	107,670520	13,478088	43,642517	127,833142	8,356571	5,103596	108,563037	-14,730109	39,416577	105,911218	-9,793407	-2,434001	98,056390
